"Notes"	"County"	"County Code"	"Gender"	"Gender Code"	"Ethnicity"	"Ethnicity Code"	"Race"	"Race Code"	Population
	"Butte County, CA"	"06007"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	17010
	"Butte County, CA"	"06007"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	1948
	"Butte County, CA"	"06007"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	6061
	"Butte County, CA"	"06007"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	2908
	"Butte County, CA"	"06007"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	78394
	"Calaveras County, CA"	"06009"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	229
	"Calaveras County, CA"	"06009"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	71
	"Calaveras County, CA"	"06009"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	62
	"Calaveras County, CA"	"06009"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	2579
	"Calaveras County, CA"	"06009"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	390
	"Calaveras County, CA"	"06009"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	530
	"Calaveras County, CA"	"06009"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	274
	"Calaveras County, CA"	"06009"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	18923
	"Calaveras County, CA"	"06009"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	208
	"Calaveras County, CA"	"06009"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	98
	"Calaveras County, CA"	"06009"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	62
	"Calaveras County, CA"	"06009"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	2658
	"Calaveras County, CA"	"06009"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	360
	"Calaveras County, CA"	"06009"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	429
	"Calaveras County, CA"	"06009"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	382
	"Calaveras County, CA"	"06009"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	18650
	"Colusa County, CA"	"06011"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	169
	"Colusa County, CA"	"06011"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	62
	"Colusa County, CA"	"06011"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	47
	"Colusa County, CA"	"06011"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	5975
	"Colusa County, CA"	"06011"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	169
	"Colusa County, CA"	"06011"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	205
	"Colusa County, CA"	"06011"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	146
	"Colusa County, CA"	"06011"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	3799
	"Colusa County, CA"	"06011"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	209
	"Colusa County, CA"	"06011"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	73
	"Colusa County, CA"	"06011"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	60
	"Colusa County, CA"	"06011"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	6423
	"Colusa County, CA"	"06011"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	153
	"Colusa County, CA"	"06011"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	156
	"Colusa County, CA"	"06011"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	175
	"Colusa County, CA"	"06011"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	3726
	"Contra Costa County, CA"	"06013"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	5148
	"Contra Costa County, CA"	"06013"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	6028
	"Contra Costa County, CA"	"06013"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	6029
	"Contra Costa County, CA"	"06013"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	133079
	"Contra Costa County, CA"	"06013"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	2201
	"Contra Costa County, CA"	"06013"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	118355
	"Contra Costa County, CA"	"06013"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	58370
	"Contra Costa County, CA"	"06013"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	260129
	"Contra Costa County, CA"	"06013"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	5332
	"Contra Costa County, CA"	"06013"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	6096
	"Contra Costa County, CA"	"06013"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	5841
	"Contra Costa County, CA"	"06013"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	132867
	"Contra Costa County, CA"	"06013"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	2081
	"Contra Costa County, CA"	"06013"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	106087
	"Contra Costa County, CA"	"06013"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	52998
	"Contra Costa County, CA"	"06013"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	252885
	"Del Norte County, CA"	"06015"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	352
	"Del Norte County, CA"	"06015"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	39
	"Del Norte County, CA"	"06015"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	51
	"Del Norte County, CA"	"06015"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	1549
	"Del Norte County, CA"	"06015"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	1121
	"Del Norte County, CA"	"06015"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	485
	"Del Norte County, CA"	"06015"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	163
	"Del Norte County, CA"	"06015"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	8866
	"Del Norte County, CA"	"06015"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	443
	"Del Norte County, CA"	"06015"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	35
	"Del Norte County, CA"	"06015"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	66
	"Del Norte County, CA"	"06015"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	3061
	"Del Norte County, CA"	"06015"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	1184
	"Del Norte County, CA"	"06015"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	446
	"Del Norte County, CA"	"06015"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	943
	"Del Norte County, CA"	"06015"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	9008
	"El Dorado County, CA"	"06017"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	676
	"El Dorado County, CA"	"06017"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	330
	"El Dorado County, CA"	"06017"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	188
	"El Dorado County, CA"	"06017"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	11394
	"El Dorado County, CA"	"06017"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	925
	"El Dorado County, CA"	"06017"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	5958
	"El Dorado County, CA"	"06017"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	1090
	"El Dorado County, CA"	"06017"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	76124
	"El Dorado County, CA"	"06017"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	766
	"El Dorado County, CA"	"06017"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	349
	"El Dorado County, CA"	"06017"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	257
	"El Dorado County, CA"	"06017"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	11418
	"El Dorado County, CA"	"06017"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	945
	"El Dorado County, CA"	"06017"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	4899
	"El Dorado County, CA"	"06017"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	1320
	"El Dorado County, CA"	"06017"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	76204
	"Fresno County, CA"	"06019"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	13366
	"Fresno County, CA"	"06019"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	5464
	"Fresno County, CA"	"06019"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	7018
	"Fresno County, CA"	"06019"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	240090
	"Fresno County, CA"	"06019"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	3704
	"Fresno County, CA"	"06019"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	55004
	"Fresno County, CA"	"06019"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	24881
	"Fresno County, CA"	"06019"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	150926
	"Fresno County, CA"	"06019"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	13491
	"Fresno County, CA"	"06019"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	5477
	"Fresno County, CA"	"06019"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	6695
	"Fresno County, CA"	"06019"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	245579
	"Fresno County, CA"	"06019"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	3437
	"Fresno County, CA"	"06019"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	53431
	"Fresno County, CA"	"06019"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	25933
	"Fresno County, CA"	"06019"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	144605
	"Glenn County, CA"	"06021"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	261
	"Glenn County, CA"	"06021"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	78
	"Glenn County, CA"	"06021"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	89
	"Glenn County, CA"	"06021"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	5315
	"Glenn County, CA"	"06021"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	284
	"Glenn County, CA"	"06021"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	417
	"Glenn County, CA"	"06021"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	151
	"Glenn County, CA"	"06021"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	7336
	"Glenn County, CA"	"06021"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	327
	"Glenn County, CA"	"06021"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	96
	"Glenn County, CA"	"06021"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	103
	"Glenn County, CA"	"06021"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	5810
	"Glenn County, CA"	"06021"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	234
	"Glenn County, CA"	"06021"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	394
	"Glenn County, CA"	"06021"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	210
	"Glenn County, CA"	"06021"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	7288
	"Humboldt County, CA"	"06023"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	1063
	"Humboldt County, CA"	"06023"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	191
	"Humboldt County, CA"	"06023"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	206
	"Humboldt County, CA"	"06023"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	6687
	"Humboldt County, CA"	"06023"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	4349
	"Humboldt County, CA"	"06023"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	2429
	"Humboldt County, CA"	"06023"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	1277
	"Humboldt County, CA"	"06023"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	52115
	"Humboldt County, CA"	"06023"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	1073
	"Humboldt County, CA"	"06023"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	226
	"Humboldt County, CA"	"06023"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	267
	"Humboldt County, CA"	"06023"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	6641
	"Humboldt County, CA"	"06023"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	3939
	"Humboldt County, CA"	"06023"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	2175
	"Humboldt County, CA"	"06023"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	1544
	"Humboldt County, CA"	"06023"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	51376
	"Imperial County, CA"	"06025"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	1870
	"Imperial County, CA"	"06025"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	1070
	"Imperial County, CA"	"06025"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	957
	"Imperial County, CA"	"06025"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	73069
	"Imperial County, CA"	"06025"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	742
	"Imperial County, CA"	"06025"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	1103
	"Imperial County, CA"	"06025"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	943
	"Imperial County, CA"	"06025"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	8583
	"Imperial County, CA"	"06025"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	1915
	"Imperial County, CA"	"06025"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	1041
	"Imperial County, CA"	"06025"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	913
	"Imperial County, CA"	"06025"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	73253
	"Imperial County, CA"	"06025"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	652
	"Imperial County, CA"	"06025"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	1291
	"Imperial County, CA"	"06025"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	3636
	"Imperial County, CA"	"06025"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	10177
	"Inyo County, CA"	"06027"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	293
	"Inyo County, CA"	"06027"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	20
